id,transfermarktURL,fbrefURL,fbrefURLb
2030-31,2030,2030-2031,2030
2029-30,2029,2029-2030,2029
2028-29,2028,2028-2029,2028
2027-28,2027,2027-2028,2027
2026-27,2026,2026-2027,2026
2025-26,2025,2025-2026,2025
2024-25,2024,2024-2025,2024
2023-24,2023,2023-2024,2023
2022-23,2022,2022-2023,2022
2021-22,2021,2021-2022,2021
2020-21,2020,2020-2021,2020
2019-20,2019,2019-2020,2019
2018-19,2018,2018-2019,2018
2017-18,2017,2017-2018,2017
2016-17,2016,2016-2017,2016
2015-16,2015,2015-2016,2015
2014-15,2014,2014-2015,2014
2013-14,2013,2013-2014,2013
2012-13,2012,2012-2013,2012
2011-12,2011,2011-2012,2011
2010-11,2010,2010-2011,2010
2009-10,2009,2009-2010,2009
2008-09,2008,2008-2009,2008
2007-08,2007,2007-2008,2007
2006-07,2006,2006-2007,2006
2005-06,2005,2005-2006,2005
2004-05,2004,2004-2005,2004
2003-04,2003,2003-2004,2003
2002-03,2002,2002-2003,2002
2001-02,2001,2001-2002,2001
2000-01,2000,2000-2001,2000
1999-00,1999,1999-1900,1999
1998-99,1998,1998-1999,1998
1997-98,1997,1997-1998,1997
1996-97,1996,1996-1997,1996
1995-96,1995,1995-1996,1995
1994-95,1994,1994-1995,1994
1993-94,1993,1993-1994,1993
1992-93,1992,1992-1993,1992
1991-92,1991,1991-1992,1991
1990-91,1990,1990-1991,1990
1989-90,1989,1989-1990,1989
1988-89,1988,1988-1989,1988
1987-88,1987,1987-1988,1987
1986-87,1986,1986-1987,1986
1985-86,1985,1985-1986,1985
1984-85,1984,1984-1985,1984
1983-84,1983,1983-1984,1983
1982-83,1982,1982-1983,1982
1981-82,1981,1981-1982,1981
1980-81,1980,1980-1981,1980
1979-80,1979,1979-1980,1979
1978-79,1978,1978-1979,1978
1977-78,1977,1977-1978,1977
1976-77,1976,1976-1977,1976
1975-76,1975,1975-1976,1975
1974-75,1974,1974-1975,1974
1973-74,1973,1973-1974,1973
1972-73,1972,1972-1973,1972
1971-72,1971,1971-1972,1971
1970-71,1970,1970-1971,1970
1969-70,1969,1969-1970,1969
1968-69,1968,1968-1969,1968
1967-68,1967,1967-1968,1967
1966-67,1966,1966-1967,1966
1965-66,1965,1965-1966,1965
1964-65,1964,1964-1965,1964
1963-64,1963,1963-1964,1963
1962-63,1962,1962-1963,1962
1961-62,1961,1961-1962,1961
1960-61,1960,1960-1961,1960
1959-60,1959,1959-1960,1959
1958-59,1958,1958-1959,1958
1957-58,1957,1957-1958,1957
1956-57,1956,1956-1957,1956
1955-56,1955,1955-1956,1955
1954-55,1954,1954-1955,1954
1953-54,1953,1953-1954,1953
1952-53,1952,1952-1953,1952
1951-52,1951,1951-1952,1951
1950-51,1950,1950-1951,1950
1949-50,1949,1949-1950,1949
1948-49,1948,1948-1949,1948
1947-48,1947,1947-1948,1947
1946-47,1946,1946-1947,1946
1945-46,1945,1945-1946,1945
1944-45,1944,1944-1945,1944
1943-44,1943,1943-1944,1943
1942-43,1942,1942-1943,1942
1941-42,1941,1941-1942,1941
1940-41,1940,1940-1941,1940
1939-40,1939,1939-1940,1939
1938-39,1938,1938-1939,1938
1937-38,1937,1937-1938,1937
1936-37,1936,1936-1937,1936
1935-36,1935,1935-1936,1935
1934-35,1934,1934-1935,1934
1933-34,1933,1933-1934,1933
1932-33,1932,1932-1933,1932
1931-32,1931,1931-1932,1931
1930-31,1930,1930-1931,1930
1929-30,1929,1929-1930,1929
1928-29,1928,1928-1929,1928
1927-28,1927,1927-1928,1927
1926-27,1926,1926-1927,1926
1925-26,1925,1925-1926,1925
1924-25,1924,1924-1925,1924
1923-24,1923,1923-1924,1923
1922-23,1922,1922-1923,1922
1921-22,1921,1921-1922,1921
1920-21,1920,1920-1921,1920
1919-20,1919,1919-1920,1919
1918-19,1918,1918-1919,1918
1917-18,1917,1917-1918,1917
1916-17,1916,1916-1917,1916
1915-16,1915,1915-1916,1915
1914-15,1914,1914-1915,1914
1913-14,1913,1913-1914,1913
1912-13,1912,1912-1913,1912
1911-12,1911,1911-1912,1911
1910-11,1910,1910-1911,1910
1909-10,1909,1909-1910,1909
1908-09,1908,1908-1909,1908
1907-08,1907,1907-1908,1907
1906-07,1906,1906-1907,1906
1905-06,1905,1905-1906,1905
1904-05,1904,1904-1905,1904
1903-04,1903,1903-1904,1903
1902-03,1902,1902-1903,1902
1901-02,1901,1901-1902,1901
1900-01,1900,1900-1901,1900
1899-00,1899,1899-1800,1899
1898-99,1898,1898-1899,1898
1897-98,1897,1897-1898,1897
1896-97,1896,1896-1897,1896
1895-96,1895,1895-1896,1895
1894-95,1894,1894-1895,1894
1893-94,1893,1893-1894,1893
1892-93,1892,1892-1893,1892
1891-92,1891,1891-1892,1891
